#                   F = 800     F = 800    F = 900     F = 900   F = 1000    F = 1000   F = 1100    F = 1100     
"Implementation" "A15 only" "A15+RAM  " "A15 only" "A15+RAM  " "A15 only" "A15+RAM  " "A15 only" "A15+RAM  "
"intra dyn."          22.3        24.3        23.3        25.1       24.0        25.7       26.4        27.9
"inter dyn."          15.0        16.2        15.5        16.5       17.1        18.0       17.8        18.6

