#"24 cores \_{SSE}"
#-	-	----	-----	----	-------
#K	N	ALGO	ITERS	ITHR	LATENCY
#-	-	----	-----	----	-------
#256	768	LTE_VERY_FAST	6	741.031	132.658
 512	1536	LTE_VERY_FAST	6	765.87	256.712
#768	2304	LTE_VERY_FAST	6	750.36	393.027
 1024	3072	LTE_VERY_FAST	6	771.124	509.926
#1280	3840	LTE_VERY_FAST	6	759.941	646.787
 1536	4608	LTE_VERY_FAST	6	768.851	767.151
#1792	5376	LTE_VERY_FAST	6	760.595	904.723
 2048	6144	LTE_VERY_FAST	6	723.256	1087.35
#2304	6912	LTE_VERY_FAST	6	744.648	1188.13
 2560	7680	LTE_VERY_FAST	6	749.121	1312.26
#2816	8448	LTE_VERY_FAST	6	759.226	1424.27
 3072	9216	LTE_VERY_FAST	6	761.019	1550.09
#3328	9984	LTE_VERY_FAST	6	766.363	1667.56
 3584	10752	LTE_VERY_FAST	6	748.414	1838.9
#3840	11520	LTE_VERY_FAST	6	741.016	1989.92
#4096	12288	LTE_VERY_FAST	6	667.774	2355.39
 4096	12288	LTE_VERY_FAST	6	745.774	2355.39 // HACK
#4352	13056	LTE_VERY_FAST	6	747.419	2235.92
 4608	13824	LTE_VERY_FAST	6	760.242	2327.51
#4864	14592	LTE_VERY_FAST	6	759.494	2459.24
 5120	15360	LTE_VERY_FAST	6	754.509	2605.78
#5376	16128	LTE_VERY_FAST	6	745.326	2769.77
 5632	16896	LTE_VERY_FAST	6	752.588	2873.67
#5888	17664	LTE_VERY_FAST	6	749.429	3016.95
 6144	18432	LTE_VERY_FAST	6	709.1	3327.17
