#"24 cores \_{AVX}"
#-	-	----	-----	----	-------
#K	N	ALGO	ITERS	ITHR	LATENCY
#-	-	----	-----	----	-------
#256	768	LTE_VERY_FAST	6	919.958	213.714
 512	1536	LTE_VERY_FAST	6	1019.62	385.651
#768	2304	LTE_VERY_FAST	6	1058.03	557.473
 1024	3072	LTE_VERY_FAST	6	1012.09	777.035
#1280	3840	LTE_VERY_FAST	6	1025.96	958.17
 1536	4608	LTE_VERY_FAST	6	989.1	1192.65
#1792	5376	LTE_VERY_FAST	6	987.834	1393.21
 2048	6144	LTE_VERY_FAST	6	933.687	1684.57
#2304	6912	LTE_VERY_FAST	6	987.194	1792.43
 2560	7680	LTE_VERY_FAST	6	986.616	1992.75
#2816	8448	LTE_VERY_FAST	6	977.894	2211.58
 3072	9216	LTE_VERY_FAST	6	963.15	2449.56
#3328	9984	LTE_VERY_FAST	6	957.519	2669.3
 3584	10752	LTE_VERY_FAST	6	926.003	2972.47
#3840	11520	LTE_VERY_FAST	6	903.182	3265.26
 4096	12288	LTE_VERY_FAST	6	723.087	4350.42
#4352	13056	LTE_VERY_FAST	6	665.646	5021.19
 4608	13824	LTE_VERY_FAST	6	637.903	5547.77
#4864	14592	LTE_VERY_FAST	6	604.193	6182.71
 5120	15360	LTE_VERY_FAST	6	581.146	6766.22
#5376	16128	LTE_VERY_FAST	6	561.59	7351.93
 5632	16896	LTE_VERY_FAST	6	532.851	8117.42
#5888	17664	LTE_VERY_FAST	6	505.179	8951.26
 6144	18432	LTE_VERY_FAST	6	473.521	9964.9
