#"4 cores \_{AVX}"
#-	-	----	-----	----	-------
#K	N	ALGO	ITERS	ITHR	LATENCY
#-	-	----	-----	----	-------
#256	768	LTE_VERY_FAST	6	191.518	171.096
 512	1536	LTE_VERY_FAST	6	187.481	349.562
#768	2304	LTE_VERY_FAST	6	182.644	538.227
 1024	3072	LTE_VERY_FAST	6	177.013	740.465
#1280	3840	LTE_VERY_FAST	6	177.505	923.016
 1536	4608	LTE_VERY_FAST	6	176.154	1116.11
#1792	5376	LTE_VERY_FAST	6	175.465	1307.25
 2048	6144	LTE_VERY_FAST	6	164.122	1597.25
#2304	6912	LTE_VERY_FAST	6	173.364	1701.12
 2560	7680	LTE_VERY_FAST	6	173.574	1887.85
#2816	8448	LTE_VERY_FAST	6	173.405	2078.65
 3072	9216	LTE_VERY_FAST	6	170.813	2302.03
#3328	9984	LTE_VERY_FAST	6	172.314	2472.14
 3584	10752	LTE_VERY_FAST	6	171.55	2674.16
#3840	11520	LTE_VERY_FAST	6	171.23	2870.52
 4096	12288	LTE_VERY_FAST	6	134.571	3895.99
#4352	13056	LTE_VERY_FAST	6	133.275	4179.76
 4608	13824	LTE_VERY_FAST	6	132.394	4455.06
#4864	14592	LTE_VERY_FAST	6	132.589	4695.65
 5120	15360	LTE_VERY_FAST	6	132.392	4950.15
#5376	16128	LTE_VERY_FAST	6	131.673	5226.04
 5632	16896	LTE_VERY_FAST	6	131.518	5481.37
#5888	17664	LTE_VERY_FAST	6	131.242	5742.56
 6144	18432	LTE_VERY_FAST	6	131.29	5990.05
