#"4 cores \_{SSE}"
#-	-	----	-----	----	-------
#K	N	ALGO	ITERS	ITHR	LATENCY
#-	-	----	-----	----	-------
#256	768	LTE_VERY_FAST	6	133.308	122.904
 512	1536	LTE_VERY_FAST	6	132.948	246.472
#768	2304	LTE_VERY_FAST	6	132.425	371.17
 1024	3072	LTE_VERY_FAST	6	131.295	499.153
#1280	3840	LTE_VERY_FAST	6	131.378	623.546
 1536	4608	LTE_VERY_FAST	6	131.587	747.066
#1792	5376	LTE_VERY_FAST	6	130.154	881.174
 2048	6144	LTE_VERY_FAST	6	122.897	1066.52
#2304	6912	LTE_VERY_FAST	6	130.618	1128.91
 2560	7680	LTE_VERY_FAST	6	129.736	1262.87
#2816	8448	LTE_VERY_FAST	6	130.254	1383.63
 3072	9216	LTE_VERY_FAST	6	129.942	1513.04
#3328	9984	LTE_VERY_FAST	6	130.147	1636.55
 3584	10752	LTE_VERY_FAST	6	129.699	1768.53
#3840	11520	LTE_VERY_FAST	6	129.635	1895.79
#4096	12288	LTE_VERY_FAST	6	112.225	2335.88
 4096	12288	LTE_VERY_FAST	6	129	2335.88 // HACK
#4352	13056	LTE_VERY_FAST	6	129.415	2152.21
 4608	13824	LTE_VERY_FAST	6	129.762	2272.71
#4864	14592	LTE_VERY_FAST	6	129.524	2403.39
 5120	15360	LTE_VERY_FAST	6	129.102	2538.15
#5376	16128	LTE_VERY_FAST	6	128.163	2684.59
 5632	16896	LTE_VERY_FAST	6	128.94	2795.48
#5888	17664	LTE_VERY_FAST	6	128.91	2923.21
 6144	18432	LTE_VERY_FAST	6	122.571	3208.07
