  Es/N0 | Eb/N0 |    BE     |    FE     |    BER    |    FER
#  3.54  | 1.04  | 91748833 |    85715 | 1.121e-01 | 1.000e+00
#  4.05  | 1.55  | 75478030 |    82950 | 9.526e-02 | 1.000e+00
#  4.53  | 2.03  | 62791770 |    82950 | 7.925e-02 | 1.000e+00
#  5.03  | 2.53  | 49590504 |    82950 | 6.259e-02 | 1.000e+00
  5.52  | 3.02  | 34278147 |    80185 | 4.475e-02 | 1.000e+00
  6.02  | 3.52  | 16199486 |    72681 | 2.191e-02 | 9.388e-01
  6.53  | 4.04  |   792443 |     6248 | 1.072e-03 | 8.070e-02
  7.03  | 4.53  |     8595 |       76 | 1.017e-05 | 8.590e-04
  7.51  | 5.01  |        0 |        0 | 0.000e+00 | 0.000e+00
  8.01  | 5.51  |        0 |        0 | 0.000e+00 | 0.000e+00
  8.50  | 6.00  |        0 |        0 | 0.000e+00 | 0.000e+00
