SNR	N	K	R	C_THR_{}	C_THR_{R0, R0L}	C_THR_{R0, R0L, R1}	C_THR_{R0, R0L, R1, REP, REPL}	C_THR_{R0, R0L, R1, REP, REPL, SPC_4}	C_THR_{R0, R0L, R1, REP, REPL, SPC_4+}	C_THR_{R0, R0L, R1, REP, REPL, SPC_16-}
2.5	2048	410	0.1	521.54	1323.18	1624.43	1749.33	1749.33	1861.00	1861.00
2.5	2048	1024	0.2	506.36	711.17	1241.42	1298.95	1298.95	1376.56	1376.56
4.0	2048	1707	0.3	477.23	509.09	1403.50	1414.98	1414.98	1539.50	1539.50
4.0	2048	1843	0.4	471.29	480.70	1657.41	1699.49	1699.49	1769.68	1769.68
