SNR	N	K	R	C_THR_{}	C_THR_{R0, R0L}	C_THR_{R0, R0L, R1}	C_THR_{R0, R0L, R1, REP, REPL}	C_THR_{R0, R0L, R1, REP, REPL, SPC_4}	C_THR_{R0, R0L, R1, REP, REPL, SPC_4+}	C_THR_{R0, R0L, R1, REP, REPL, SPC_16-}
2.5	2048	410	0.1	70.89	181.64	249.57	385.89	385.89	412 	412
2.5	2048	1024	0.2	66.81	94.73	193.72	285.57	285.57	304	304
4.0	2048	1707	0.3	62.72	66.26	255.70	331.89	331.89	380	380
4.0	2048	1843	0.4	60.32	64.26	347.64	422.15	422.15	492	492
