"A57 Intra-SIMD dyn." "A57 intra dyn."
3 A07 char yes inter 32768 9830 0.50 2.50 30000 34491.81 28.50 8.55 18395.63 450.00 0.1145 3.95 0.0945 3.26 13.392037353764 24.4448542090539 116.961024923703
4 A07 char yes inter 32768 13107 0.50 2.50 30000 36011.14 27.30 10.92 19205.94 450.00 0.1163 4.19 0.0933 3.36 10.6510396257725 19.1956827649348 91.5824559395743
5 A07 char yes inter 32768 16384 0.50 2.50 30000 36162.34 27.18 13.59 19286.58 450.00 0.1184 4.28 0.0921 3.33 8.71097973632813 15.4870036697388 73.5724639892578
6 A07 char yes inter 32768 19661 0.50 2.50 30000 36152.08 27.19 16.32 19281.11 450.00 0.1175 4.25 0.0920 3.33 7.20185400348405 12.8407524572758 61.2923744977366
7 A07 char yes inter 32768 22938 0.50 2.50 30000 35020.09 28.07 19.65 18677.38 450.00 0.1181 4.14 0.0933 3.27 6.01021933581829 10.758343502049 50.8909342575639
8 A07 char yes inter 32768 26214 0.50 2.50 30000 33134.20 29.67 23.73 17671.58 450.00 0.1166 3.86 0.0950 3.15 4.91270463302052 8.91533705271992 42.132972838941
9 A07 char yes inter 32768 29491 0.50 2.50 30000 28285.70 34.75 31.28 15085.71 450.00 0.1158 3.28 0.0981 2.77 3.70224224763487 6.83859772684887 31.9710038655861


"A53 Intra-SIMD dyn." "A53 intra dyn."
1 A53 char yes intra 32768 3277 0.50 2.50 10000 7932.31 41.31 4.13 793.23 450.00 0.0847 0.67 0.0000 0.00 20.5024659749771 20.5024659749771 242.059810802563
2 A53 char yes intra 32768 6554 0.50 2.50 10000 11099.88 29.52 5.90 1109.99 450.00 0.0838 0.93 0.0000 0.00 14.1924263045468 14.1924263045468 169.360695758316
3 A53 char yes intra 32768 9830 0.50 2.50 10000 12843.13 25.51 7.65 1284.31 450.00 0.0828 1.06 0.0000 0.00 10.8179926754832 10.8179926754832 130.652085452696
4 A53 char yes intra 32768 13107 0.50 2.50 10000 14009.59 23.39 9.36 1400.96 450.00 0.0817 1.14 0.0000 0.00 8.73261860074769 8.73261860074769 106.886396581979
5 A53 char yes intra 32768 16384 0.50 2.50 10000 14456.96 22.67 11.33 1445.70 450.00 0.0824 1.19 0.0000 0.00 7.2708544921875 7.2708544921875 88.238525390625
6 A53 char yes intra 32768 19661 0.50 2.50 10000 14056.31 23.31 13.99 1405.63 450.00 0.0830 1.17 0.0000 0.00 5.93394486546971 5.93394486546971 71.4933116321652
7 A53 char yes intra 32768 22938 0.50 2.50 10000 12866.72 25.47 17.83 1286.67 450.00 0.0837 1.08 0.0000 0.00 4.69501608684279 4.69501608684279 56.0933821606069
8 A53 char yes intra 32768 26214 0.50 2.50 10000 11107.03 29.50 23.60 1110.70 450.00 0.0854 0.95 0.0000 0.00 3.61843976501106 3.61843976501106 42.3704890516518
9 A53 char yes intra 32768 29491 0.50 2.50 10000 9567.37 34.25 30.82 956.74 450.00 0.0856 0.82 0.0000 0.00 2.77701481808009 2.77701481808009 32.441761893459


"A53 Inter-SIMD dyn." "A53 inter dyn."
1 A53 char yes inter 32768 3277 0.50 2.50 10000 8127.57 40.32 4.03 13004.11 450.00 0.0912 0.74 0.0000 0.00 22.6192941714983 22.6192941714983 248.018576441868
2 A53 char yes inter 32768 6554 0.50 2.50 10000 10318.52 31.76 6.35 16509.62 450.00 0.0917 0.95 0.0000 0.00 14.4371009498016 14.4371009498016 157.438396399146
3 A53 char yes inter 32768 9830 0.50 2.50 10000 11047.54 29.66 8.90 17676.06 450.00 0.0908 1.00 0.0000 0.00 10.2046429806714 10.2046429806714 112.385935910478
4 A53 char yes inter 32768 13107 0.50 2.50 10000 12447.32 26.33 10.53 19915.71 450.00 0.0915 1.14 0.0000 0.00 8.6894763532845 8.6894763532845 94.966954680705
5 A53 char yes inter 32768 16384 0.50 2.50 10000 12948.19 25.31 12.65 20717.10 450.00 0.0911 1.18 0.0000 0.00 7.19958423614502 7.19958423614502 79.0294647216797
6 A53 char yes inter 32768 19661 0.50 2.50 10000 12589.60 26.03 15.62 20143.37 450.00 0.0919 1.16 0.0000 0.00 5.88466921507044 5.88466921507044 64.0333973348253
7 A53 char yes inter 32768 22938 0.50 2.50 10000 12210.63 26.84 18.79 19537.00 450.00 0.0922 1.13 0.0000 0.00 4.90809846106897 4.90809846106897 53.2331720289476
8 A53 char yes inter 32768 26214 0.50 2.50 10000 11562.37 28.34 22.67 18499.79 450.00 0.0914 1.06 0.0000 0.00 4.03143550679026 4.03143550679026 44.1076094834821
9 A53 char yes inter 32768 29491 0.50 2.50 10000 9682.42 33.84 30.46 15491.88 450.00 0.0918 0.89 0.0000 0.00 3.01395888576176 3.01395888576176 32.8317961411956
