# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
#   SNR |      FRA |       BE |       FE |      BER |      FER ||   LD |   DEC |   ST |    CTHR |    ITHR |  LATENCY || SIM_CTHR |    ET/RT 
#  (dB) |          |          |          |          |          ||  (%) |   (%) |  (%) |  (Mb/s) |  (Mb/s) |     (us) ||   (Mb/s) | (hhmmss) 
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
#  2.50 | 37794496 |      105 |      100 | 2.71e-09 | 2.65e-06 || 13.3 |  83.7 |  3.1 |   34.44 |   11.48 |  1427.06 ||   333.94 | 00h05'47


"int-8 Q_{5,3}"
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
#   SNR |      FRA |       BE |       FE |      BER |      FER ||   LD |   DEC |   ST |    CTHR |    ITHR |  LATENCY || SIM_CTHR |    ET/RT 
#  (dB) |          |          |          |          |          ||  (%) |   (%) |  (%) |  (Mb/s) |  (Mb/s) |     (us) ||   (Mb/s) | (hhmmss) 
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
   0.00 |      560 |    83950 |      555 | 1.46e-01 | 9.91e-01 || 12.9 |  84.1 |  3.0 |   38.41 |   12.80 |  1279.79 ||    60.83 | 00h00'00
#  0.10 |      544 |    70524 |      515 | 1.27e-01 | 9.47e-01 || 13.1 |  83.9 |  3.0 |   39.88 |   13.29 |  1232.50 ||   161.32 | 00h00'00
   0.20 |      560 |    58814 |      498 | 1.03e-01 | 8.89e-01 || 13.3 |  83.7 |  3.0 |   40.85 |   13.62 |  1203.27 ||   164.46 | 00h00'00
#  0.30 |      480 |    38454 |      376 | 7.82e-02 | 7.83e-01 || 13.1 |  84.1 |  2.8 |   45.56 |   15.19 |  1078.80 ||   178.90 | 00h00'00
   0.40 |      576 |    32115 |      356 | 5.44e-02 | 6.18e-01 || 13.1 |  84.0 |  2.9 |   43.53 |   14.51 |  1129.25 ||   171.24 | 00h00'00
#  0.50 |      656 |    22812 |      290 | 3.40e-02 | 4.42e-01 || 13.3 |  83.8 |  2.9 |   38.63 |   12.88 |  1272.24 ||   166.69 | 00h00'00
   0.60 |      752 |    15446 |      223 | 2.01e-02 | 2.97e-01 || 13.0 |  84.0 |  3.0 |   40.88 |   13.63 |  1202.22 ||   194.80 | 00h00'00
#  0.70 |     1168 |     9227 |      162 | 7.71e-03 | 1.39e-01 || 13.0 |  84.0 |  3.0 |   39.52 |   13.17 |  1243.69 ||   245.56 | 00h00'00
   0.80 |     2192 |     5781 |      120 | 2.58e-03 | 5.47e-02 || 12.8 |  84.3 |  2.9 |   38.63 |   12.88 |  1272.47 ||   257.57 | 00h00'00
#  0.90 |     5184 |     4050 |      116 | 7.63e-04 | 2.24e-02 || 13.0 |  84.0 |  3.0 |   38.24 |   12.75 |  1285.37 ||   297.25 | 00h00'00
   1.00 |    13648 |     3198 |      106 | 2.29e-04 | 7.77e-03 || 12.9 |  84.1 |  3.0 |   35.62 |   11.87 |  1379.89 ||   318.75 | 00h00'00
#  1.10 |    53648 |     3824 |      102 | 6.96e-05 | 1.90e-03 || 12.8 |  84.2 |  3.0 |   34.80 |   11.60 |  1412.27 ||   330.62 | 00h00'00
   1.20 |   207280 |     2798 |      100 | 1.32e-05 | 4.82e-04 || 12.9 |  84.1 |  3.1 |   34.70 |   11.57 |  1416.32 ||   334.40 | 00h00'01
#  1.30 |  1129520 |     1740 |      100 | 1.50e-06 | 8.85e-05 || 12.8 |  84.1 |  3.1 |   34.52 |   11.51 |  1423.88 ||   335.15 | 00h00'10
   1.40 |  4571168 |     1190 |      100 | 2.54e-07 | 2.19e-05 || 12.8 |  84.1 |  3.1 |   34.59 |   11.53 |  1421.19 ||   335.35 | 00h00'41
#  1.50 | 10663040 |      593 |      100 | 5.43e-08 | 9.38e-06 || 12.8 |  84.1 |  3.1 |   34.53 |   11.51 |  1423.27 ||   335.38 | 00h01'37
   1.60 | 26357456 |      220 |      100 | 8.15e-09 | 3.79e-06 || 12.8 |  84.1 |  3.1 |   34.53 |   11.51 |  1423.33 ||   335.25 | 00h04'01
#  1.70 | 35681376 |      197 |      100 | 5.39e-09 | 2.80e-06 || 12.8 |  84.1 |  3.1 |   34.50 |   11.50 |  1424.86 ||   335.21 | 00h05'26
   1.80 | 62028224 |      194 |      100 | 3.05e-09 | 1.61e-06 || 12.9 |  84.1 |  3.1 |   34.50 |   11.50 |  1424.77 ||   335.07 | 00h09'28
#  1.90 | 78946672 |      167 |      100 | 2.07e-09 | 1.27e-06 || 12.8 |  84.1 |  3.1 |   34.46 |   11.49 |  1426.16 ||   335.10 | 00h12'03
   2.00 | 1.14e+08 |      174 |      100 | 1.48e-09 | 8.74e-07 || 12.8 |  84.1 |  3.1 |   34.53 |   11.51 |  1423.65 ||   335.40 | 00h17'28
#  2.10 | 2.05e+08 |      172 |      100 | 8.21e-10 | 4.89e-07 || 12.9 |  84.1 |  3.1 |   34.53 |   11.51 |  1423.40 ||   335.24 | 00h31'14
#  2.20 | 3.16e+08 |      157 |      100 | 4.85e-10 | 3.17e-07 || 12.8 |  84.1 |  3.1 |   34.49 |   11.50 |  1424.92 ||   335.38 | 00h48'13
#  2.30 | 4.41e+08 |      166 |      100 | 3.68e-10 | 2.27e-07 || 12.8 |  84.1 |  3.1 |   34.58 |   11.53 |  1421.25 ||   335.56 | 01h07'16
#  2.40 | 7.66e+08 |      183 |      100 | 2.33e-10 | 1.31e-07 || 12.8 |  84.2 |  3.1 |   34.40 |   11.47 |  1428.77 ||   334.96 | 01h57'01
#  2.50 | 9.65e+08 |      154 |      100 | 1.56e-10 | 1.04e-07 || 12.8 |  84.1 |  3.1 |   34.52 |   11.51 |  1423.98 ||   335.37 | 02h27'17


"int-8 Q_{6,3}"
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
#   SNR |      FRA |       BE |       FE |      BER |      FER ||   LD |   DEC |   ST |    CTHR |    ITHR |  LATENCY || SIM_CTHR |    ET/RT 
#  (dB) |          |          |          |          |          ||  (%) |   (%) |  (%) |  (Mb/s) |  (Mb/s) |     (us) ||   (Mb/s) | (hhmmss) 
# ------|----------|----------|----------|----------|----------||------|-------|------|---------|---------|----------||----------|----------
   0.00 |      448 |    65901 |      439 | 1.44e-01 | 9.80e-01 || 13.7 |  83.4 |  2.9 |   44.64 |   14.88 |  1101.17 ||    56.76 | 00h00'00
   0.10 |      416 |    51610 |      402 | 1.21e-01 | 9.66e-01 || 13.7 |  83.3 |  3.0 |   48.24 |   16.08 |  1018.81 ||   161.00 | 00h00'00
   0.20 |      432 |    44650 |      376 | 1.01e-01 | 8.70e-01 || 13.5 |  83.6 |  2.9 |   50.79 |   16.93 |   967.77 ||   169.16 | 00h00'00
   0.30 |      576 |    46060 |      441 | 7.81e-02 | 7.66e-01 || 13.6 |  83.5 |  2.9 |   41.62 |   13.87 |  1181.09 ||   191.35 | 00h00'00
   0.40 |      576 |    30747 |      361 | 5.21e-02 | 6.27e-01 || 13.6 |  83.5 |  2.9 |   44.04 |   14.68 |  1116.20 ||   179.05 | 00h00'00
   0.50 |      544 |    17358 |      254 | 3.12e-02 | 4.67e-01 || 13.8 |  83.2 |  3.0 |   52.34 |   17.45 |   939.02 ||   165.64 | 00h00'00
   0.60 |      832 |    14597 |      237 | 1.71e-02 | 2.85e-01 || 12.8 |  84.4 |  2.7 |   41.33 |   13.78 |  1189.30 ||   224.07 | 00h00'00
   0.70 |      992 |     7906 |      157 | 7.78e-03 | 1.58e-01 || 13.9 |  83.1 |  3.0 |   43.56 |   14.52 |  1128.44 ||   229.30 | 00h00'00
   0.80 |     1728 |     6490 |      123 | 3.67e-03 | 7.12e-02 || 13.6 |  83.4 |  3.0 |   42.49 |   14.16 |  1156.74 ||   244.94 | 00h00'00
   0.90 |     4656 |     4572 |      111 | 9.59e-04 | 2.38e-02 || 12.5 |  84.7 |  2.8 |   37.12 |   12.37 |  1324.11 ||   297.43 | 00h00'00
   1.00 |    13552 |     3781 |      105 | 2.72e-04 | 7.75e-03 || 13.7 |  83.3 |  3.0 |   36.02 |   12.01 |  1364.74 ||   316.61 | 00h00'00
   1.10 |    52160 |     3105 |      100 | 5.81e-05 | 1.92e-03 || 13.6 |  83.4 |  3.1 |   35.80 |   11.93 |  1373.07 ||   327.67 | 00h00'00
   1.20 |   227088 |     2808 |      100 | 1.21e-05 | 4.40e-04 || 13.3 |  83.6 |  3.1 |   34.72 |   11.57 |  1415.65 ||   332.63 | 00h00'02
   1.30 |   934032 |     2124 |      100 | 2.22e-06 | 1.07e-04 || 13.3 |  83.6 |  3.1 |   34.63 |   11.54 |  1419.27 ||   334.27 | 00h00'08
   1.40 |  5505040 |      966 |      100 | 1.71e-07 | 1.82e-05 || 13.4 |  83.5 |  3.1 |   34.66 |   11.55 |  1418.20 ||   333.74 | 00h00'50
   1.50 | 12224544 |      501 |      100 | 4.00e-08 | 8.18e-06 || 13.3 |  83.7 |  3.1 |   34.50 |   11.50 |  1424.56 ||   334.10 | 00h01'52
   1.60 | 19597520 |      239 |      100 | 1.19e-08 | 5.10e-06 || 13.3 |  83.6 |  3.1 |   34.72 |   11.57 |  1415.79 ||   334.93 | 00h02'59
   1.70 | 35394656 |      204 |      100 | 5.63e-09 | 2.83e-06 || 13.2 |  83.7 |  3.1 |   34.41 |   11.47 |  1428.50 ||   333.67 | 00h05'25
   1.80 | 45735824 |      185 |      100 | 3.95e-09 | 2.19e-06 || 13.3 |  83.6 |  3.1 |   34.65 |   11.55 |  1418.56 ||   334.55 | 00h06'59
   1.90 | 78182960 |      195 |      100 | 2.44e-09 | 1.28e-06 || 13.3 |  83.7 |  3.1 |   34.45 |   11.48 |  1426.68 ||   333.75 | 00h11'59
   2.00 | 1.25e+08 |      203 |      100 | 1.59e-09 | 8.01e-07 || 13.3 |  83.6 |  3.1 |   34.51 |   11.50 |  1424.41 ||   334.04 | 00h19'08
   2.10 | 2.04e+08 |      185 |      100 | 8.85e-10 | 4.90e-07 || 13.3 |  83.6 |  3.1 |   34.52 |   11.51 |  1423.70 ||   333.98 | 00h31'17
   2.20 | 2.45e+08 |      166 |      100 | 6.63e-10 | 4.09e-07 || 13.2 |  83.7 |  3.1 |   34.39 |   11.46 |  1429.14 ||   333.87 | 00h37'30
   2.30 | 4.17e+08 |      167 |      100 | 3.91e-10 | 2.40e-07 || 13.4 |  83.5 |  3.1 |   34.74 |   11.58 |  1414.76 ||   334.72 | 01h03'51
   2.40 | 6.47e+08 |      167 |      100 | 2.52e-10 | 1.54e-07 || 13.3 |  83.6 |  3.1 |   34.58 |   11.53 |  1421.27 ||   334.10 | 01h39'13
   2.50 | 1.01e+09 |      160 |      100 | 1.55e-10 | 9.94e-08 || 13.3 |  83.6 |  3.1 |   34.61 |   11.54 |  1420.16 ||   334.28 | 02h34'06
